activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,1,4,1,2,2,2,25000.0,100.0,NA,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,2,2,25000,1,1,3,5,1,NA,16,20%-<30%,8,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,4,,,2573,6.1,82300,90.46,793,1139,67
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,31,1,2,2,2,75000.0,31.25,6.5,-0.02,2,2249.91,NA,675.0,NA,NA,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,79,20%-<30%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,1,,,,,10,,,,2561,6.36,82300,124.96,1000,1228,63
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,1,1,1,2,2,2,145000.0,95.0,7.75,0.28,2,1951.7,NA,675.0,NA,7.0,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,290,20%-<30%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,1,1,1,1,2,2,2,85000.0,99.422,6.49,0.297,2,1576.7,NA,675.0,,93.0,360,NA,NA,2,2,2,2,95000,1,1,3,5,1,NA,31,30%-<36%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,2,1,,,,,10,,,,2573,6.1,82300,90.46,793,1139,67
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,2,2,85000.0,80.0,7.25,-1.213,2,2276.41,NA,675.0,NA,265.0,360,NA,60,2,2,2,2,105000,1,1,3,5,1,NA,74,42,9,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,4804,26.35,82300,95.37,1344,1724,62
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,1,31,1,2,2,2,45000.0,80.0,7.25,-1.341,2,1989.7,NA,675.0,172.0,7.0,360,NA,84,2,2,2,2,65000,1,1,3,5,1,NA,61,20%-<30%,1,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,5493005L8AW1CTD9HZ03,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,1111,1111,1111,95000.0,Exempt,Exempt,Exempt,3,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,3,1111,1111,3,Exempt,13,Exempt,1111,1111,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,55-64,9999,Yes,NA,1111,1111,1111,,,,,1111,,,,4804,26.35,82300,95.37,1344,1724,62
2023,549300ISCZS1R0CJMO47,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,8,2,1,1,1,2,2,2,215000.0,97.0,6.375,-0.171,2,3145.45,NA,875.0,,,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,148,20%-<30%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,4804,26.35,82300,95.37,1344,1724,62
2023,549300R0SXC1JU7ZU290,99999,IL,17187,17187870300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,445000.0,95.0,8.0,1.036,2,8657.57,NA,6581.77,4811.77,730.0,360,NA,NA,2,2,2,2,595000,1,1,3,5,1,NA,181,40,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,2561,6.36,82300,124.96,1000,1228,63
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Sex Not Available,1,3,2,1,1,1,2,2,2,55000.0,24.87800,6.000,0.048,2,2886.60,NA,1673.60,1254.60,28.50,360,NA,NA,2,2,2,2,205000,1,1,3,5,1,NA,43,<20%,2,10,3,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,2087,7.24,82300,114.72,830,1158,62
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,1,1,2,2,2,45000.0,90.00000,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,45000,1,1,3,5,1,NA,36,30%-<36%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,1,1,2,2,2,145000.0,99.33300,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,90,20%-<30%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,3,5,,,4804,26.35,82300,95.37,1344,1724,62
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,1,2,1,1,1,2,2,2,55000.0,104.95700,6.250,0.389,2,2141.71,NA,792.71,173.71,6.90,360,NA,NA,2,2,2,2,55000,1,1,3,5,1,NA,40,41,2,10,11,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,115000.0,96.50000,6.625,0.856,2,4494.61,NA,719.00,,10.45,360,NA,NA,2,2,2,2,115000,1,1,3,5,1,NA,54,48,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,3,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,45000.0,95.00000,6.375,0.776,2,1783.95,NA,419.00,,5.60,180,NA,NA,2,2,2,2,45000,1,1,3,5,1,NA,139,49,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,2573,6.1,82300,90.46,793,1139,67
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,45000.0,88.19300,6.125,0.246,2,3123.20,NA,719.00,,85.60,360,NA,NA,2,2,2,2,55000,1,1,3,5,1,NA,30,45,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,3,,,,,10,,,,2561,6.36,82300,124.96,1000,1228,63
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,2,1,1,2,2,2,145000.0,100.00000,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,145000,1,1,3,5,1,NA,40,>60%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,1,5,,,4804,26.35,82300,95.37,1344,1724,62
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,85000.0,96.49900,6.375,0.222,2,4217.94,NA,1361.22,642.22,4.85,360,NA,NA,2,2,2,2,85000,1,1,3,5,1,NA,27,42,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,<25,9999,No,NA,1,1,3,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300HGDJQ37M5BE268,99999,IL,17187,17187870100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,4,2,2,2,2,25000.0,31.45000,8.000,0.900,2,0.00,NA,0.00,,,72,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,60,20%-<30%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,10,,,,2087,7.24,82300,114.72,830,1158,62
2023,5493003EAJYUK1F8B139,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,65000.0,80.0,5.625,-0.655,2,2071.25,NA,759.7,,,360,NA,NA,2,2,2,2,105000,1,1,3,5,1,NA,98,30%-<36%,9,2,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,5493003EAJYUK1F8B139,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,2,2,25000.0,65.882,7.25,1.124,2,1828.05,NA,500.0,,75.0,240,NA,84,2,2,2,2,45000,1,1,3,5,1,NA,35,20%-<30%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,>74,>74,Yes,Yes,1,1,1,,,,,10,,,,4804,26.35,82300,95.37,1344,1724,62
2023,5493003EAJYUK1F8B139,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,31,1,2,2,2,135000.0,83.871,7.125,0.814,2,2235.55,NA,500.0,,,360,NA,60,2,2,2,2,155000,1,1,3,5,1,NA,77,47,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,4804,26.35,82300,95.37,1344,1724,62
